posada,name,id,category,incomes,assets,land,house,transport_cost
"ПРЕЗИДЕНТ УКРАЇНИ, АДМІНІСТРАЦІЯ ПРЕЗИДЕНТА УКРАЇНИ",Порошенко Петро Олексійович,c9e4d7dd-d6b7-44b8-9e26-12e756d36e04,20,16939286,822218104.1,56291,4525.07,895789
"Провідний фахівець відділу матеріально-технічного забезпечення центру забезпечення діяльності ГУ ДСНС України у м.Києві, ГУ ДСНС України у м.Києві",Денисенко Тетяна Иванівна,394594be-1867-471a-a575-3739d2fd2dd3,20,0,200000000,0,46,813000
"Міністр, Міністерство внутрішніх справ України",Аваков Арсен Борисович,77ea8149-3dd6-4f33-9158-717e8da92bc0,20,58602749,122451373.9,1200,861.8,0
"перший заступник Міністра охорони здоров'я України, Міністерство охорони здоров'я України",Супрун Уляна Надія,e1495863-f755-4a0c-948f-83ed5688d0c8,20,357375,118489103.8,0,128.7,0
"Перший заступник Секретаря Ради, РАДА НАЦІОНАЛЬНОЇ БЕЗПЕКИ І ОБОРОНИ УКРАЇНИ",Гладковський Олег Володимирович,579bbccc-04b6-4362-bb33-2a0c2d75e899,20,11698997,112570086.4,5393,2867.3,1048519
"другий секретар, Міністерство закордонних справ України",Гіренко Тетяна Володимирівна,3dca7928-a168-4c2f-a486-67e9642bd61f,20,8918630,80201223.91,2740,886.8,0
"заступник Директора-начальник відділу , Міністерство закордонних справ України",Гіренко Олександр Тимофійович,51dfcc18-2ae0-4457-ac66-c72eb503d4f0,20,8918630,80201223.91,2740,886.8,0
"Голова Державної фіскальної служби України, Державна фіскальна служба України",Насіров Роман Михайлович,7d7736ce-6252-44da-8c45-bdd263acda4b,20,9147068,58417914.89,188959,1021.4,798000
"Заступник Глави Адміністрації Президента України, Адміністрація Президента України",Філатов Олексій Валерійович,bbdac1f6-d59f-41c9-a3bc-c5445e0bc6e7,20,354585,58110798.87,0,203.5,0
"директор, Інститут права та післядипломної освіти Міністерства юстиції України",Чижмарь Катерина Іванівна,d0bfba9e-64ff-49f1-bf78-46b36856f240,20,5399823,52168403.34,8302,466.6,0
"Начальник ГУ, ГУ ДФС у Харківській області",Рибаков Микола Володимирович,c7a563f2-1e1c-46ff-b5db-4dfea31dcf84,20,1283192,49104072.85,2666,677,1085150
"Секретар Ради національної безпеки і оборони України, Рада національної безпеки і оборони України",Турчинов Олександр Валентинович,8635a8f2-03e4-4b6f-9700-c328b5ced7d5,20,2829304,47336057.49,0,419.6,0
"Міністр юстиції України, Міністерство юстиції України",Петренко Павло Дмитрович,e02b0109-99ae-420a-a4f2-a52647e75a3f,20,4352963,45950605.13,30497,211.3,0
"Член Комітету Верховної Ради України з питань податкової та митної політики, Голова депутатської фракції ""Радикальна партія Олега Ляшка"", Верховна Рада України",Ляшко Олег Валерійович,f939c3e6-22b7-4349-8ab0-fb3a6dcdf135,20,20949259,42542591.28,11343,1068.1,1092000
"Виконуючий обов'язки заступника Голови, Державне агенство автомобільних доріг України",Харченко Олександр Іванович,453b2fb4-c6ab-464d-94df-d41c91fe6671,20,5142797,39492018.18,0,4274.1,1776655
"Начальник відділу ГУ ДФС у м.Києві, ГУ ДФС у м.Києві",Гоменюк Дмитро Степанович,3c32df19-1758-446e-bac0-29013986f60f,20,1166029,39147381.14,7375,2015.5,0
"Міністр енергетики та вугільної промисловості України, Міністерство енергетики та вугільної промисловості України",Насалик Ігор Степанович,f807eb33-5322-48eb-98b6-6840bff0bc6c,20,5789023,37852317.9,3080,1008.9,3782000
"Перший заступник міністра юстиції України, Міністерство юстиції України",Бернацька Наталія Іларіонівна,5324a791-e607-4c7a-8d4f-9924b96b63bc,20,3793705,37413458.49,0,517.6,144000
"заступник міністра, Міністерство енергетики та вугільної промисловості України",Прокопів Ігор Богданович,f697bc69-0732-4fb5-8cf2-a63e3ac19904,20,32473726,37353695.89,1203,747.5,858685
"Заступник Керівника, Державне управління справами",Сарнацький Євген Володимирович,85d52adb-b27b-4d97-8dca-c5a68dd13ab6,20,918436,35087008.11,0,165.7,775699
"начальник філії, ФІЛІЯ ""ЦЕНТР ТРАНСПОРТНОГО СЕРВІСУ ""ЛІСКИ"" ПУБЛІЧНОГО АКЦІОНЕРНОГО ТОВАРИСТВА ""УКРАЇНСЬКА ЗАЛІЗНИЦЯ""",Гусак Руслан Олегович,cd17b389-e09b-46a4-bbc2-2c5089fe049a,20,7660766,33275629.4,21981,3173.8,0
"Перший заступник міністра аграрної політики та продовольства України, Міністерство аграрної політики та продовольства України",Мартинюк Максим Петрович,d7e5afce-bfad-45f0-9ae8-c34aeb6f3893,20,3405304,30933471.1,33148,361.3,0
"оперуповноважений, ГУНП в Дніпропетровській області",Клепак Євген Олександрович,1973a3dc-bdff-4c0a-916f-225fd0c123d9,20,17291,29568463.21,0,179,0
"Референт у Департаменті з питань стратегічного планування та координації державної політики , Секретаріат Кабінету Міністрів України",Коваль Олег Петрович,1c058889-810a-4ff2-826d-51b71cfe7758,20,208266,28801466.82,275,663.8,240000
"Директор регіональної філії, Регіональна філія ""Придніпровська залізниця"" ПАТ ""Укрзалізниця""",Кужавський Микола Сергійович,b1674340-0451-4d26-bead-31e18fa97478,20,4315089,28314553.83,12227,400.51,0
"Перший заступник директора, Інститут права та післядипломної освіти Міністерства юстиції України",Журавльов Дмитро Володимирович,28ba33e0-ab02-4995-90d9-30093b1d38b2,20,1762206,28062573.26,1128,676.08,1367520
"заступник начальника інспекції держенергонагляду у Львівській області, ДП НЕК '""Укренерго'' ВП""Державна інспекція енергетичного нагляду України"" Інспекція держенергонагляду у Львівській області",Марчак Игор Иванович,91c4cff1-5949-49c5-a9e9-9f297fbac819,20,8558300,27312058.08,0,742.1,1225000
"заступник міністра, Міністерство юстиції України",Чернишов Денис Вікторович,1a96eadd-e854-4c34-b062-32950c69b1e8,20,5613135,26983979,1887,617.9,1520000
"Генеральний директор директорату викопних видів палива, Міністерство енергетики та вугільної промисловості України",Федотов Максим Олександрович,3bd4cf0e-8fa5-48e9-9364-9182ad3b2e09,20,1798070,22709037.41,15527,1110.4,4161948
"старший оперуповноважений в особливо важливих справах, Департамент внутрішньої безпеки Національної поліції України",Шеварднадзе Георгий Георгиевич,ca575b70-ed41-4a88-a939-7085ea9e1ef7,20,464689,21467292.53,0,182.4,444915
"начальнік управління , національна поліція МВС України",Копаєв Валентин Вікторович,b6facead-ade0-4635-af9c-a481380a7d15,20,1000913,21400342.55,0,474.6,87000
"член Конкурсної комісії з провед.конк.на зайнят. вак.пос.держ.сл.кат.БтаВ у вик.орг. Київської міської ради (КМДА); член Конкурс.коміс.з провед.конкурсу на зайн.вакантних посад державної служби у Дніпровській районній в м. Києві державній адміністрації; член Конкурс.комісії з проведення конкурсу на зайняття вакантних посад державної служби категорії Б та В Державної екологічної інспекції України, Виконавчий орган Київської міської ради (Київська міська державна адміністрація); Державна екологічна інспекція України; Дніпровська районна в м. Києві державна адміністрація",Марієн Ігор Степанович,9ec090ca-f161-48e5-aaed-52df1fb83029,20,199882,21128922.66,0.15,97.42,0
"Інспектор поліції , ГУ Національної Поліції в Одеській області Національної поліції України",Набродов Вячеслав Вячеславович,28387989-6457-44f3-a97c-c5a1f1bdc8b6,20,0,20712930.99,0,0,0
"Старший інспектор, Червоноградський ВП ГУНП уЛьвівській області",Михалек Богдан Семенович,09857f37-d847-4536-b14b-560ef5b33aee,20,10890870,20359430.29,1586,221.1,150000
"начальник, Державна екологічна інспекція у Харківській області",Георгіян Артем Павлович,902e55bb-52fe-474e-bc75-9593cb543f0d,20,154786,20160075.78,3170,208.22,1373415
"головний спеціаліст, Головне управління майна та ресурсів Міністерства оборони України",Лущик Олеся Петрівна,cbf72425-a104-4f85-808d-e17e0991bbc4,20,9364760,19998692,0,0,86600
"директор, Державна установа ""Офіс адміністрування проектів міжнародного фінансового співробітництва"" Міністерства фінансів України",Стельмах Василь Григорович,ac56c113-ecce-4461-806f-d78f79a288e5,20,784680,19784237.1,5397,228.9,0
"спеціаліст, Міністерство закордонних справ України",Сіраков Юрій Віталійович,48a82592-295a-46fe-880d-74734039c265,20,281054,19703555.42,0,166,0
"Заступник Глави Адміністрації Президента України, Адміністрація Президента України",Шимків Дмитро Анатолійович,593b23e9-bdb0-462e-a8aa-c2c69798b889,20,5452170,19680724.44,2040,658.9,1354759
"Народний депутат України, Секретар Комітету Верховної Ради України з питань податкової та митної політики, Верховна Рада України",Кришин Олег Юрійович,f1860659-211f-4253-b5e9-68f69c2df8d9,20,7339934,18794883.44,23987,1282.3,1407062
"слідчий, Шевченківський ВП Приморського ВП у місті Одесі ВП ГУ НПУ в Одеський області",Чернєєв Сергій Михайлович,f42d948d-0e58-4256-a605-7b90acf244cd,20,170000,18715331.04,0,46.1,126000
"Державний секретар, Міністерство юстиції України",Буяджи Ганна Володимирівна,d85d5ebc-fb9a-42b5-9e68-5279d5e711e4,20,5573755,18533958.6,0,175.8,4443237
"Заступник начальника філії, Державне підприємство ""Адміністрація морських портів України"" філія ""Дельта-лоцман""",Салімов Олександр Петрович,98df2b59-c9ce-4e80-a8ed-be37139cbf64,20,2053845,17949343.22,0,241.7,0
"Керівник Головного департаменту , Адміністрація Президента України",Мельник Ярослав Володимирович,9766adf6-e577-4fa1-8868-aedc289288ab,20,4733114,17511284.56,1720,303.3,300230
"Директор департаменту, Міністерство енергетики та вугільної промисловості",Пономаренко Олександр Володимирович,2368b333-0b42-46e7-84aa-2194844f290d,20,7859108,17454875.17,7724,1170.4,2130986
"Державний секретар, Міністерство Аграрної політики та продовольства України",Андронов Владислав Євгенович,5fc88855-2463-4ca8-8752-fc2f8b4e36c6,20,3331356,17082110.24,2593,601.1,2780000
"Депутат Київської міської ради, офіцер Північного територіального управління юридичного департаменту Міністерства оборони України, Київська міська Рада, Міністерство оборони України",Дідовець Юрій Вікторович,78fca2d1-3050-438e-bc40-1cd5abbc670a,20,223430,16912000,2000,395.6,0
"Головний енергетик, Бердянська філія Державного підприємства ""Адміністрація морських портів України""",Куров Дмитро Миколайович,8c490fc3-b59b-4be9-9a4c-b9c31b4c48b1,20,163170,16794022.9,70917,50.5,0
"заступник Міністра, Міністерство регіонального розвитку, будівництва та житлово-комунального господарства України",Парцхаладзе Лев Ревазович,056e3185-909b-4eb4-b0a7-40d9cb92a0a4,20,3813192,16723963.69,8377,447.1,1900000
"Головний спеціаліст відділу розвитку туризму, Міністерство економічного розвитку і торгівлі України",Бучинська Олена Миколаївна,a90b41a5-2eea-48aa-ac7d-0bce69fe4991,20,1784867,16319014.44,6300,529.8,392700
"радник безпекового відділу Департаменту протидії загрозам з боку РФ, Міністерство закордонних справ України",Омельченко Ян Олександрович,ee3d4c16-9a22-499a-8b3f-d30a2a837d32,20,2989494,16251334.35,2100,644,557900
"Перший заступник Глави Адміністрації Президента України, Адміністрація Президента України",Ковальчук Віталій Анатолійович,6fb8138f-3111-4a3a-9846-86b2e0c2fef3,20,4247150,16198818.7,2004,1442.9,1225514
"начальник управління матеріального забезпечення та розвитку інфраструктури, Київська міська митниця Державної фіскальної служби",Черкасський Руслан Анатолійович,7e74d93d-0797-470e-a6cc-768f940308e5,20,140362,15780011.47,1000,520.6,267246
"головний консультант, Адміністрація Президента України",Близнюк Валентина Ігорівна,014de8c1-391d-4db9-84d1-2c3328ee717a,20,1376520,15664007.02,1500,377.3,1036560
"Заступник начальника управління - начальник відділу, Національна поліція України",Шевцов Євген Олександрович,a2b9ea01-204f-4dcc-a590-7a4cd83595ca,20,9820979,15460091.46,1000,1093.8,0
"головний спеціаліст, Сторожинецький РВ УДМС України в Чернівецькій області",Денисенко Ілля Володимирович,ba2ac427-05ed-4758-8902-0c2a07196ae2,20,96790,15429055.58,3044,355.81,596297
"Заступник начальника, ГУ ДФС у м.Києві",Брицька Леся Євгеніївна,f5a1bfba-5c1c-41b8-8d3f-267dcf64a45e,20,3956773,14852157.8,45192,1855.8,2886930
"Заступник Голови з внутрішньої та морської безпеки, Державне підприємство ""Адміністрація морських портів України""",Гронський Сергій Володимирович,1bc36e25-58da-4b2a-be31-8ff530fcf127,20,3428024,14652472.57,0,308.99,2462550
"Начальник , Деснянський районний відділ Головного управління Державної міграційної служби України в місті Києві",Ковальчук Андрій Миколайович,0af71544-47af-46e3-b24c-ac6973cb60c2,20,325894,14323648.11,0,205,654075
"Завідувач сектору громадянства, Подільський районний відділ Головного управління Державної міграційної служби України в місті Києві",Ковальчук Вікторія Миколаївна,31e498f5-3a40-413b-b91e-e3f01b3deeec,20,325894,14323648.11,0,205,654075
"заступник директора, ДЗ ""Центр медичної статистики МОЗ України""",Дяченко Сергій Олександрович,db4e3c6a-beea-425b-baba-7704cc8fbf0f,20,130909,14093828.65,0,79.1,212000
"Директор з економіки і фінансів, ПАТ Укрзалізниця",Рязанцев Андрій Вікторович,9545d2f1-1aaa-4054-84e3-14d3f5a7db7a,20,2696612,14038611.5,1483,480.3,0
"Заступник Міністра юстиції з питань державної реєстрації, Міністерство юстиції України",Сукманова Олена Валеріївна,a157069f-2957-4d08-b24d-9bdfb3d5575a,20,4388203,13842574.18,3130,707.5,2043640
"Заступник Начальника станції с вантажної та комерційної роботи, ПАТ "" Укрзалізниця "" РФ "" Одеська Залізниця """,Казанін Дмитро Сергійович,9d21d116-e62e-4691-a580-830637bda3b4,20,141406,13615041.73,0,79.2,0
"Заступник начальника відділу ЗБДР, ГУНП в Київській області",Єреп Олексій Григорович,30564096-60de-4413-ae2e-6a4c6a6aae4a,20,1093720,13525594.76,4328,1123.94,424500
"поліцейський патрульної поліції, Патрульна поліція у Вінницькій області",Мазур Владислав Геннадійович,f09ab2f0-cb2b-41fc-af60-de5b9b5383b9,20,2718507,12946433.97,5487,474.7,2190000
"Начальник Головного управління Державної фіскальної служби у Запорізькій області, Головне управління Державної фіскальної служби у Запорізькій області",Кавилін Олексій Анатолійович,5ba8599b-437c-4ab2-8250-694eb94b165d,20,6348734,12933900.75,0,311.5,0
"Міністр аграрної політики та продовольства України , Міністерство аграрної політики та продовольства України",Кутовий Тарас Вікторович,7ecdd77b-6155-421a-aa4d-d54abba9f417,20,90225,12467541.84,0,213,0
"Начальник управління з питань державного майна та підприємств, Міністерство освіти і науки України",Костенко Олена Ігорівна,57ceb320-5feb-49eb-8e39-ac14d996f56f,20,1049822,12429865.91,0,122.9,1724054
"Начальник Управління Укртрансбезпеки у Луганській області, Державна служба України з безпеки на транспорті",Галуган Володимир Віталійович,637c3585-55d0-4b04-a3bc-01593599ecd2,20,181508,12347728.74,400,297,0
"Депутат Криворізької міської ради, Молодший лейтенант командир взводу глибинної розвідки 74 ОРБ РГР, Криворізька Міська Рада, Військова частина№А1035",Ляденко Олег Васильович,4c390e61-4a48-402f-aeae-e87f2eead6eb,20,1209688,12295498.43,1771,780,0
"головний спеціаліст сектору з персоналу, Державне агентство лісових ресурсів України",Омельчук Вікторія Володимирівна,cf128082-a696-478d-a5ab-da255e60f689,20,751125,12203969.63,0,92.1,0
"Керівник, Відділ внутрішньої безпеки Головного управління Державної фіскальної служби у Житомирській області",Мельник Сергій Вячеславович,6ef21b7a-1122-4795-8ee0-941db37c112a,20,258392,12042435.33,3463,656.9,1446696
"Начальник відділення, Державна установа ""Центр обслуговування підрозділів МВС України""",Мамаєв Петро Володимирович,31a11dff-6b19-44b1-af93-5aa55a2c7d53,20,336597,11932414.98,1194,72,0
"третій секретар, Міністерство закордонних справ України",Гречанюк Тетяна Іванівна,373c0afb-7bac-4917-9ef8-a6ed917df13d,20,765280,11896889.2,18378,164.2,0
"другий секретар, Міністерство закордонних справ України, Посольство України в Туркменістані",Гречанюк Олена Іванівна,d8e07037-c9b5-4378-b26f-3c0c12191adc,20,765280,11896889.2,18378,164.2,0
"заступник Державного секретаря, Секретаріат Кабінет Міністрів",Ковтун Тетяна Владиславівна,beadfbb7-e49b-4b06-be66-94a11cca3cff,20,2594831,11761671.35,15141,471.4,1203956
"Начальник управління матеріального забезпечення та розвитку інфраструктури, Закарпатська митниця ДФС",Дуран Сергій Сергійович,ced73e8f-e7bb-49fb-ac52-80dd29a43191,20,274751,11706165.11,39997,111,201050
