name,region,name_post,vehicles_names,organization_group,id,incomes,apartments,land,assets
Кравчук Олена Петрівна,24,"Завідуюча Гнатівської дільнична лікарня ветеренарної медецени , Гнатівська дільнична лікарня ветеренарної медецини ",null,n,nacp_93075198-5eb8-426d-815d-cdf4afc4e673,33896,20000,579196,0
Кушнір Григорій Олександрович,5,"Завідувач Антонівською дільничною лікарнею ветеринарної медицини, Томашпільська районна державна лікарня ветеринарної медицини",ГАЗ 5204,n,nacp_5d98e202-178b-4657-a67e-2e7216f804a6,119460,19267,16398,0
Свистак Галина Андріївна,5,"Провідний лікар ветмедицини-серолог, Хмільницька міжрайонна державна лабораторія ветеринарної медицини",null,n,nacp_988daa25-76cd-46df-bc47-fac598333cd9,79526,18979,0,95000
Грабовий Анатолій Іванович,8,"Головний лікар, Комунальний заклад ""Новомиколаївська туберкульозна лікарня"" Дніпропетровської обласної ради""",Ваз 21061/CHEVROLET NIVA,n,nacp_34147b66-c46c-4257-b8b1-168cfb500a6f,309791,15683,6902,39792
Ніколаєв Юрій Іванович,11,"ЛІКАРЬ ВЕТИРЕНАРНОЇ МЕДИЦИНИ, Одеська регіональна служба держветсан контролю та нагляду на державному кордоні та транспорті",ВАЗ 21063/ШЗК 06 ТУРИСТ,n,nacp_2ead1163-544f-4c6c-b997-3dd6fcce2f71,109965,14775,1957,0
Олійник Мирон Іванович,15,"Головний лікар, Комунальний заклад""Черкаський обласний протитуберкульозний диспансер"" Черкаської обласної ради",NISSAN TIIDA/RENAULT DUSTER,n,nacp_95895d4e-c9ba-491e-add6-c7df68afdc57,287336,14413,0,0
Гнатюк Андрій Мирославович,22,"Завідуючий Микулинецької ветеринарної дільниці, Теребовлянська районна державна ветеринарна лікарня",Opel Vivaro,n,nacp_a8339703-68eb-4cbb-a2d4-477c8c6f6f1e,78652,14243,18500,0
Джам Адам Романович,18,"Ветлікар, Сильненська дільнична лікарня ветеринарної медицини",null,n,nacp_88ff7736-335f-400d-aa97-bd1e8263677a,76573,13795,2500,0
Недельчев Василь Іванович,11,"ЛІКАР ВЕТЕРЕНАРНОЇ МЕДИЦИНИ, Одеська регіональна служба держветсан контролю та нагляду на державному кордоні та транспорті",ТРАКТОР Т25,n,nacp_c3ca5236-8ef1-457a-b6b7-a992859cc30b,71211,12300,6000,0
Ільницький Зеновій Ярославович,2,"Лікар-стоматолог, Вовківська лікарська амбулаторія загальної практики сімейної медицини",Opel Astra,n,nacp_4a9b3550-76e6-4508-a06e-156ee344a188,241483,11000,2,0
