name,region,name_post,vehicles_names,organization_group,id,incomes,apartments,land,assets
Сітенко Тарас Олександрович,1,"Лікар ортопед-травматолог, Державна установа ""Інститут патології хребта та суглобів імені професора М.І.Ситенка Національної академії медичних наук України"" ",LEXUS GX460/VW Touareg NF/SKODA SUPERB,n,nacp_605e748f-38f6-48e1-a5ae-38327cadd04e,75672351,2103,47942,120689243
Гичка Назарій Михайлович,2,"Головний лікар, Київський міський пологовий будинок №3",Toyota Camry/Skoda Superb/Lexus RX 350,n,nacp_132bb5bf-ebb9-4d83-a5ee-84e379b37c84,80910208,1370,0,84852558
Цвігун Борис Ярославович,21,"Головний лікар, Міська поліклініка №1",LEXUS LX 470,n,nacp_19a6f3ca-a674-4a5b-9690-93460cc7c1f8,2927954,2673,6639,62563784
Сидор Іван Миколайович,18,"Головний лікар, Волинська обласна клінічна лікарня",RENAULT DUSTER,n,nacp_0c0a8a85-4cee-4275-a0ba-03f681c37aa6,2226037,526,61576,29490410
Ярошенко Олександр Олександрович,4,"В.о. головного лікаря, КЛПУ ""Міський дерматовенерологічний диспансер м. Маріуполя""",Audi S8,n,nacp_502140c6-4178-4a93-9f07-cf7ae9fcad90,199825,542,492,16686083
Маковійчук Ірина Омелянівна,3,"Головний лікар, КОМУНАЛЬНА МЕДИЧНА УСТАНОВА ""ЧЕРНІВЕЦЬКИЙ ОБЛАСНИЙ КЛІНІЧНИЙ КАРДІОЛОГІЧНИЙ ДИСПАНСЕР""",BMW F10 520i/BMW E60/520i,n,nacp_e948aae9-76db-479f-9e7a-b79d6d011a73,365990,407,709,12576476
Завгородній Сергій Миколайович,14,"Головний лікар, Комунальна установа ""Міська лікарня екстреної та швидкої медичної допомоги м. Запоріжжя""",Audi Q3/volksvagen Bora/Audi Q5,n,nacp_3e670373-f909-474d-8808-237aad099b33,1450683,1279,3935,11163093
Бочкарьова Оксана Валеріївна,21,"Головний лікар, ХОГВВ",атлас 1604,n,nacp_99f78539-c457-4147-9c95-436bfafd1aa1,288795,489,28690,10947415
Крупа Тетяна Василівна,21,"Головний лікар, Хмельницький обласний центр медико-соціальної експертизи",Daimler-Chraysler B-170,n,nacp_0527cdcb-f0da-4d54-9f05-11cb19a9329d,1767068,860,41327,10347841
Дубець Юрій Дмитрович,2,"Начальник ДУ ""ТМО МВС по Л/о""- лікар, ДУ ""Територіальне медичне об'єднання МВС України по Львівській області""",ВОЛЬВО ХС70/Хонда MDX АКУРА,n,nacp_df15cde4-314c-4971-8f39-f665eeb3e32f,2058016,215,2182,10228033
Бігарі Наталія Володимирівна,12,"Завідуюча 4 терапевтичним відділенням; депутат Київської обласної ради 7 скликання, КЗ БМР Білоцерківська міська лікарня №2",КАМАЗ 55102/КАМАЗ 55111 КТА 25/Lexus LX 570/FORD Tranzit/Урал 375/Chevrolet Lacetti/ГКБ 8350,n,nacp_69e920d4-fe79-4ee3-96d3-ededdd252d4b,129759,1303,8003,9840514
Котенко Лариса Вікторівна,6,"Головний спеціаліст відділу державного нагляду (контролю) у сфері виробництва, дистрибуції та роздрібної торгівлі лікарськими засобами та обігу наркотичних засобів, психотропних речовин і прекурсорів, Державна служба з лікарських засобів та контролю за наркотиками у м. Києві",null,n,nacp_f856b268-a18c-4b18-9ef0-8c2672bcbd80,2006365,764,37327,8953100
Картава Світлана Олексіївна,6,"Завідувач лабораторії - лікар ветеринарної медицини відділу організації лабораторій ветеринарно-санітарної експертизи на ринку, Державний науково-дослідний інститут з лабораторної діагностики та ветеринарно-санітарної експертизи",Mercedes-benz ML 350,n,nacp_b24cdb0a-6a75-4048-a3cf-ab1bc6f12c2a,72583,195,4461,6066263
